,Date,Open,High,Low,Close,Adj Close,Volume
0,2010-01-04,112.37000274658203,113.38999938964844,111.51000213623047,113.33000183105469,86.31599426269531,118944600
1,2010-01-05,113.26000213623047,113.68000030517578,112.8499984741211,113.62999725341797,86.54447937011719,111579900
2,2010-01-06,113.5199966430664,113.98999786376953,113.43000030517578,113.70999908447266,86.60543060302734,116074400
3,2010-01-07,113.5,114.33000183105469,113.18000030517578,114.19000244140625,86.97096252441406,131091100
4,2010-01-08,113.88999938964844,114.62000274658203,113.66000366210938,114.56999969482422,87.26042175292969,126402800
5,2010-01-11,115.08000183105469,115.12999725341797,114.23999786376953,114.7300033569336,87.38226318359375,106375700
6,2010-01-12,113.97000122070312,114.20999908447266,113.22000122070312,113.66000366210938,86.56732940673828,163333500
7,2010-01-13,113.94999694824219,114.94000244140625,113.37000274658203,114.62000274658203,87.29849243164062,161822000
8,2010-01-14,114.48999786376953,115.13999938964844,114.41999816894531,114.93000030517578,87.53462982177734,115718800
9,2010-01-15,114.7300033569336,114.83999633789062,113.19999694824219,113.63999938964844,86.55209350585938,212283100
10,2010-01-19,113.62000274658203,115.12999725341797,113.58999633789062,115.05999755859375,87.63362121582031,139172700
11,2010-01-20,114.27999877929688,114.44999694824219,112.9800033569336,113.88999938964844,86.74248504638672,216490200
12,2010-01-21,113.91999816894531,114.2699966430664,111.55999755859375,111.69999694824219,85.07453918457031,344859600
13,2010-01-22,111.19999694824219,111.73999786376953,109.08999633789062,109.20999908447266,83.17805480957031,345942400
14,2010-01-25,110.20999908447266,110.41000366210938,109.41000366210938,109.7699966430664,83.60459899902344,186937500
15,2010-01-26,109.33999633789062,110.47000122070312,109.04000091552734,109.30999755859375,83.25421905517578,211168800
16,2010-01-27,109.16999816894531,110.08000183105469,108.33000183105469,109.83000183105469,83.6502914428711,271863600
17,2010-01-28,110.19000244140625,110.25,107.91000366210938,108.56999969482422,82.69062042236328,316104000
18,2010-01-29,109.04000091552734,109.80000305175781,107.22000122070312,107.38999938964844,81.79186248779297,310677600
19,2010-02-01,108.1500015258789,109.06999969482422,107.5,109.05999755859375,83.06383514404297,187865000
20,2010-02-02,109.26000213623047,110.58999633789062,108.87999725341797,110.37999725341797,84.06917572021484,216327900
21,2010-02-03,109.87999725341797,110.4800033569336,109.51000213623047,109.83000183105469,83.6502914428711,172730700
22,2010-02-04,108.9800033569336,109.02999877929688,106.41999816894531,106.44000244140625,81.06832885742188,356715700
23,2010-02-05,106.55999755859375,106.87999725341797,104.58000183105469,106.66000366210938,81.23587799072266,493585800
24,2010-02-08,106.73999786376953,107.33000183105469,105.80999755859375,105.88999938964844,80.64942932128906,224166900
